years_experience,age,department,education_level,job_role,performance_score,salary
3.6,25,HR,Master,Director,4.2,137137.58
3.2,41,Operations,Master,Senior,3.5,100093.7
1.4,49,Operations,Master,Director,2.8,137456.98
20.9,39,Sales,Bachelor,Mid,3.4,145517.82
4.4,59,Marketing,PhD,Manager,4.9,142232.17
7.4,28,HR,Master,Manager,4.1,132012.64
10.3,42,Finance,Master,Junior,4.9,104655.33
21.7,56,Marketing,Master,Junior,2.6,130645.69
13.9,25,HR,Master,Director,2.4,161221.97
14.0,37,Operations,Bachelor,Senior,3.7,125595.41
21.8,29,Marketing,Bachelor,Mid,3.5,135486.41
6.4,52,Marketing,Bachelor,Manager,3.7,112905.67
11.4,30,IT,Master,Manager,3.0,143474.15
0.6,41,Sales,PhD,Manager,4.6,122558.68
7.6,56,Marketing,Master,Senior,4.6,119842.64
9.3,42,Operations,Master,Manager,3.2,140926.31
21.6,53,IT,Bachelor,Director,4.9,201738.51
18.7,28,Sales,Master,Junior,4.2,121050.59
3.8,52,Finance,Master,Director,4.1,157046.27
18.8,56,Marketing,Master,Manager,4.6,188642.71
21.9,27,Marketing,Bachelor,Junior,3.3,116911.88
3.6,55,Marketing,PhD,Mid,2.5,97902.06
20.1,31,HR,Master,Senior,3.4,161095.18
10.5,40,Operations,PhD,Mid,2.2,113704.34
7.0,46,Marketing,Bachelor,Mid,3.1,87875.48
15.5,23,Operations,Master,Senior,2.0,136514.53
19.9,36,Sales,Master,Mid,3.9,142704.42
16.0,30,Operations,Bachelor,Junior,2.9,97584.13
16.2,27,Finance,Master,Manager,2.5,146359.75
21.4,55,Sales,Master,Mid,2.8,150930.01
17.8,43,IT,Master,Junior,2.4,115709.68
0.8,56,IT,Master,Senior,4.0,107306.67
18.2,45,IT,PhD,Mid,3.4,144563.11
14.4,51,Operations,Master,Manager,2.4,146594.83
8.9,45,Operations,PhD,Director,3.3,167846.32
9.4,28,Marketing,PhD,Manager,4.8,142399.94
5.2,50,HR,Master,Junior,4.9,79229.3
14.4,25,Marketing,Master,Mid,4.9,119123.71
14.2,23,IT,Master,Mid,5.0,127767.72
18.3,57,HR,PhD,Mid,4.4,143489.71
17.5,60,IT,Master,Mid,5.0,150169.64
2.9,23,HR,Bachelor,Senior,4.4,84770.63
4.2,25,HR,PhD,Manager,3.6,125908.65
17.2,54,Sales,Bachelor,Manager,3.5,158261.61
21.2,25,Marketing,Master,Manager,4.1,171100.5
2.1,27,Finance,PhD,Mid,2.2,79162.4
12.3,42,Marketing,PhD,Director,2.9,174976.85
17.6,29,Operations,PhD,Director,4.2,188604.39
5.4,43,Marketing,Master,Manager,4.2,126158.93
6.0,31,Operations,Master,Junior,2.3,68191.8
16.5,45,HR,PhD,Junior,3.8,127580.43
3.1,44,Operations,Master,Junior,4.9,81232.73
12.9,35,HR,PhD,Manager,2.7,146151.73
12.8,49,Sales,PhD,Director,4.0,185405.78
14.6,39,IT,Bachelor,Senior,4.1,132134.51
0.6,31,Sales,PhD,Manager,2.2,103003.44
8.6,51,Finance,Bachelor,Senior,2.9,118380.13
3.8,25,Operations,Bachelor,Senior,3.3,85232.98
9.4,35,Sales,Bachelor,Senior,3.3,104853.8
11.0,41,IT,Bachelor,Manager,5.0,145901.11
3.1,53,Operations,Master,Mid,2.4,84360.41
12.5,44,IT,Master,Junior,3.3,107250.51
7.2,49,Sales,Master,Manager,2.9,129657.82
8.3,49,IT,Bachelor,Manager,3.8,132382.14
7.2,43,HR,Master,Mid,2.2,94237.62
4.7,44,Finance,PhD,Mid,2.7,96867.63
13.5,26,HR,PhD,Manager,3.4,152940.02
15.1,58,Operations,PhD,Director,3.0,193645.92
